Id,SalePrice
1461,65335.37120647162
1462,275690.2080438957
1463,66698.81857932179
1464,261274.9047383948
1465,272796.3587713361
1466,248085.5647964432
1467,289798.0591589675
1468,241472.73194042835
1469,268201.6206656582
1470,56512.58584329969
1471,295327.58949643694
1472,223508.7368403078
1473,59356.833829809
1474,244567.39535082155
1475,262477.36468987755
1476,359704.47998092417
1477,295307.8771238534
1478,308199.51263203623
1479,303693.42736779776
1480,429144.88133830734
1481,322560.9364196111
1482,287331.87247832224
1483,281641.1061106942
1484,286566.1952913095
1485,286498.19194806216
1486,258956.04412307043
1487,356202.8118317051
1488,268240.9645837049
1489,318056.584579535
1490,285902.90821884107
1491,259445.40080408493
1492,62966.863523254084
1493,290859.13716345484
1494,318341.35371626564
1495,306138.5446390774
1496,283747.2871922602
1497,261921.63063464192
1498,289751.0166148147
1499,289751.0166148147
1500,263620.6126426034
1501,256316.41190350056
1502,287338.97601750284
1503,346719.7792755455
1504,275137.3328012749
1505,276335.03942604834
1506,250835.6944012721
1507,298374.381227407
1508,276096.03731774015
1509,248143.0190852806
1510,65450.692495488576
1511,65484.03342225265
1512,69131.72234194266
1513,246278.38753830653
1514,80940.3084680324
1515,77427.52581276697
1516,290412.4615807067
1517,292543.01009350957
1518,63691.84925599549
1519,286295.45836359094
1520,65484.03342225265
1521,64869.59228868222
1522,260342.77659089945
1523,57040.7245861487
1524,69321.23400765333
1525,63508.51559126103
1526,62249.617108705614
1527,64377.68347615465
1528,271728.3904319588
1529,69693.08708231483
1530,263607.3612159078
1531,63333.95538563182
1532,61026.434288591736
1533,66747.09489675543
1534,255527.65478794844
1535,77339.52394253653
1536,64624.47457280438
1537,63700.35264831543
1538,258472.50939274326
1539,274956.6862864256
1540,64810.65587925147
1541,258579.88346908562
1542,72891.54075233333
1543,264561.8604905423
1544,59264.89746548818
1545,243200.9512278471
1546,240918.98018317617
1547,62461.736132618695
1548,241537.2134860912
1549,62622.02207358395
1550,57836.291292663525
1551,244455.36435029906
1552,60423.63681373944
1553,258705.42279342262
1554,246406.8888741523
1555,72773.90295843627
1556,55770.51257459067
1557,63474.14047907111
1558,237944.0020644081
1559,58521.491971755146
1560,63144.7307712571
1561,67982.90191193362
1562,73082.5056247514
1563,60141.52111497037
1564,65612.43027489223
1565,58223.542216375594
1566,299254.210541529
1567,63700.35264831543
1568,278615.44433546433
1569,68933.4687608912
1570,264340.0116234802
1571,70476.69727093735
1572,75577.54202478453
1573,342435.7846099515
1574,64375.137042605806
1575,295354.11809926515
1576,270664.82612031116
1577,299330.42167103797
1578,268307.72982786584
1579,64697.635235475325
1580,260363.3733219588
1581,80972.731412205
1582,63502.86360957925
1583,344035.0165178364
1584,272729.82507254346
1585,250130.5786405371
1586,66204.98569847789
1587,68189.20979766962
1588,70237.82261722197
1589,60160.952107171826
1590,259406.70565567128
1591,57281.05190280935
1592,69376.89666038519
1593,244287.4140652242
1594,59477.92202405153
1595,58026.34202234177
1596,273394.9917515097
1597,73538.56224181654
1598,296080.80736641807
1599,280487.88691972266
1600,264158.39981705963
1601,57001.72329680741
1602,226197.33157928634
1603,61646.4713904156
1604,291281.29486237915
1605,280189.1797583437
1606,254735.23715153013
1607,273543.9534638354
1608,307567.5020434867
1609,309241.564683775
1610,66362.62623832937
1611,69091.8552538429
1612,76257.89432792817
1613,69564.61535762464
1614,60040.69982364571
1615,62732.502424336446
1616,59365.39443455348
1617,64120.578955989215
1618,69942.21191111623
1619,66497.95147995246
1620,68191.40134875037
1621,61875.34748116674
1622,60183.61300095658
1623,321408.04442474165
1624,280036.8300765863
1625,249012.58789123615
1626,254027.32350675942
1627,254370.65770442775
1628,303232.78932899557
1629,268478.4767923813
1630,364575.9625588812
1631,281145.33003125107
1632,291784.12437969254
1633,273776.9109428604
1634,251272.43114504105
1635,253719.5762018823
1636,258316.4278575288
1637,65479.716487873666
1638,271901.9864512994
1639,262727.7429547508
1640,287998.23737857264
1641,280944.30060247064
1642,296850.378841403
1643,280169.5543171203
1644,277077.26155612705
1645,72906.07860139947
1646,254083.2224795053
1647,269809.6797955564
1648,62844.21344175482
1649,69400.68406156186
1650,64442.8639973262
1651,70486.97778514681
1652,232759.25067546946
1653,239832.08207913255
1654,236013.59844723588
1655,262661.71686903725
1656,231170.18309486646
