Id,SalePrice
1461,120317
1462,158884
1463,183706
1464,199226
1465,192714
1466,172865
1467,178368
1468,164291
1469,191287
1470,125283
1471,181937
1472,98924
1473,96908
1474,145078
1475,122848
1476,349348
1477,244982
1478,281693
1479,283962
1480,507961
1481,332289
1482,204269
1483,178250
1484,160225
1485,183878
1486,192202
1487,329878
1488,226157
1489,197172
1490,243271
1491,191064
1492,95496
1493,172399
1494,282972
1495,284851
1496,232531
1497,181439
1498,174883
1499,166892
1500,160007
1501,177288
1502,147310
1503,296108
1504,244486
1505,231146
1506,194265
1507,259994
1508,211495
1509,161649
1510,147747
1511,157170
1512,177063
1513,143697
1514,149460
1515,202833
1516,148297
1517,170809
1518,132487
1519,211977
1520,132080
1521,132051
1522,178079
1523,118769
1524,121828
1525,120676
1526,110235
1527,110290
1528,136648
1529,151812
1530,189301
1531,113031
1532,91482
1533,145929
1534,115194
1535,142041
1536,105411
1537,62487
1538,158952
1539,171519
1540,85479
1541,138604
1542,123975
1543,175797
1544,87406
1545,118412
1546,130194
1547,131973
1548,130560
1549,112351
1550,133825
1551,96085
1552,135262
1553,142445
1554,125146
1555,160814
1556,76272
1557,107205
1558,100391
1559,58460
1560,118701
1561,128945
1562,131232
1563,124765
1564,155027
1565,144632
1566,230885
1567,84099
1568,229590
1569,132071
1570,137550
1571,110150
1572,143619
1573,260624
1574,127587
1575,226516
1576,241589
1577,178892
1578,136267
1579,144784
1580,189906
1581,157622
1582,128376
1583,295189
1584,216898
1585,140807
1586,75845
1587,99738
1588,152808
1589,100724
1590,133994
1591,99256
1592,109138
1593,122256
1594,133003
1595,110376
1596,225606
1597,194505
1598,232329
1599,163576
1600,150142
1601,74057
1602,118402
1603,54692
1604,267436
1605,233582
1606,165102
1607,178390
1608,216139
1609,175506
1610,152171
1611,139165
1612,167852
1613,167539
1614,117260
1615,87969
1616,78333
1617,89261
1618,130442
1619,139662
1620,162097
1621,135302
1622,134524
1623,243464
1624,212634
1625,110576
1626,168714
1627,190029
1628,274983
1629,173277
1630,370551
1631,232649
1632,246210
1633,164108
1634,185345
1635,172356
1636,152565
1637,202612
1638,184801
1639,186153
1640,248494
1641,179857
1642,245129
1643,217744
1644,237215
1645,206395
1646,156993
1647,153221
1648,128028
1649,136476
1650,116868
1651,120809
1652,100776
1653,103564
1654,141415
1655,142869
1656,139945
1657,144519
1658,143444
1659,128306
1660,155749
1661,440861
1662,403878
1663,373308
1664,505197
1665,298568
1666,318917
1667,394669
1668,325749
1669,291731
1670,331984
1671,262971
1672,444222
1673,284828
1674,237939
1675,192684
1676,195208
1677,214774
1678,476922
1679,394343
1680,319720
1681,233434
1682,308909
1683,186354
1684,173933
1685,170700
1686,168663
1687,167101
1688,186498
1689,189634
1690,192810
1691,181936
1692,252706
1693,163547
1694,183007
1695,160667
1696,275751
1697,166998
1698,335422
1699,296633
1700,246366
1701,264558
1702,234855
1703,229171
1704,269352
1705,222620
1706,429298
1707,207078
1708,200163
1709,258172
1710,222421
1711,267718
1712,254968
1713,278922
1714,230856
1715,207983
1716,179519
1717,171467
1718,137880
1719,202396
1720,225819
1721,149813
1722,119350
1723,147650
1724,199006
1725,236653
1726,184070
1727,152412
1728,160652
1729,162131
1730,151385
1731,117929
1732,137374
1733,113744
1734,117605
1735,115964
1736,109236
1737,304569
1738,242441
1739,239027
1740,220147
1741,195891
1742,172780
1743,171537
1744,344896
1745,210399
1746,185549
1747,211557
1748,230111
1749,148497
1750,129402
1751,242467
1752,118526
1753,147492
1754,191276
1755,167030
1756,129198
1757,119991
1758,148367
1759,162879
1760,157281
1761,142995
1762,177790
1763,179872
1764,118416
1765,147314
1766,193471
1767,225763
1768,140766
1769,159470
1770,148956
1771,121290
1772,134111
1773,121928
1774,150017
1775,138383
1776,128907
1777,104766
1778,138814
1779,121919
1780,162081
1781,124805
1782,93675
1783,141221
1784,107013
1785,121154
1786,138538
1787,156562
1788,67652
1789,101319
1790,85326
1791,188635
1792,152149
1793,123232
1794,149845
1795,132852
1796,126102
1797,112202
1798,123191
1799,111899
1800,129069
1801,127349
1802,126234
1803,149985
1804,133201
1805,133425
1806,121285
1807,121005
1808,114016
1809,119853
1810,142097
1811,84166
1812,97205
1813,122281
1814,93260
1815,64346
1816,99561
1817,107810
1818,145233
1819,147202
1820,44945
1821,104968
1822,150222
1823,33867
1824,120133
1825,138516
1826,113086
1827,99345
1828,122864
1829,116194
1830,141106
1831,147758
1832,65997
1833,134088
1834,125476
1835,110517
1836,131819
1837,84250
1838,113432
1839,99365
1840,142223
1841,132710
1842,98428
1843,129579
1844,141943
1845,141721
1846,150192
1847,169285
1848,61601
1849,97222
1850,119648
1851,148717
1852,131729
1853,127339
1854,165939
1855,152033
1856,219587
1857,132048
1858,140039
1859,118055
1860,141624
1861,117352
1862,316358
1863,301609
1864,301677
1865,326918
1866,323536
1867,216516
1868,281132
1869,198235
1870,215975
1871,240890
1872,170434
1873,233936
1874,147421
1875,201137
1876,201702
1877,208159
1878,193497
1879,135672
1880,130660
1881,246714
1882,239386
1883,185746
1884,205767
1885,238900
1886,278986
1887,204082
1888,253198
1889,170631
1890,120223
1891,120622
1892,99967
1893,128453
1894,121857
1895,134662
1896,124357
1897,108640
1898,119810
1899,165067
1900,153812
1901,173991
1902,168177
1903,212405
1904,153697
1905,206062
1906,119016
1907,218175
1908,112784
1909,129254
1910,120563
1911,232307
1912,386260
1913,154293
1914,45716
1915,319362
1916,72150
1917,226522
1918,137770
1919,170133
1920,158939
1921,376452
1922,306783
1923,232536
1924,238146
1925,194347
1926,377071
1927,128378
1928,148826
1929,123278
1930,127296
1931,142362
1932,138113
1933,173566
1934,179819
1935,166443
1936,194961
1937,183028
1938,170636
1939,250510
1940,191958
1941,167455
1942,183231
1943,210096
1944,384339
1945,403746
1946,144471
1947,307758
1948,186399
1949,242957
1950,180336
1951,248060
1952,198778
1953,170094
1954,183334
1955,127243
1956,323920
1957,156772
1958,293195
1959,140231
1960,113709
1961,125262
1962,98883
1963,105675
1964,105468
1965,141804
1966,142420
1967,276578
1968,430036
1969,378897
1970,426545
1971,479133
1972,364417
1973,259628
1974,334960
1975,536542
1976,262226
1977,348173
1978,356118
1979,315090
1980,202431
1981,332649
